,val,start,end
0,77.721,1993-07-08 14:00:00,1993-07-18 14:00:00
0,77.721,1993-07-20 14:00:00,1993-09-06 14:00:00
0,77.721,1993-10-01 11:00:00,1993-10-22 11:00:00
0,79.21272727272728,1993-06-11 12:00:00,1993-06-30 12:00:00
0,80.35857142857142,1993-05-26 14:00:00,1993-06-10 14:00:00
0,72.48291666666667,1993-12-21 15:00:00,1994-03-28 15:00:00
0,73.19300000000001,1994-01-04 11:00:00,1994-02-09 11:00:00
0,74.01166666666667,1994-04-12 16:00:00,1994-07-24 16:00:00
0,75.93,1994-05-09 10:00:00,1994-07-25 10:00:00
0,76.66,1994-05-31 12:00:00,1994-06-06 12:00:00
0,78.46222222222221,1994-06-16 13:00:00,1994-07-25 13:00:00
0,79.25142857142858,1994-07-13 16:00:00,1994-07-24 16:00:00
0,76.84222222222223,1994-08-22 13:00:00,1994-12-06 13:00:00
0,76.84222222222223,1994-12-07 11:00:00,1995-02-16 11:00:00
0,77.48935483870967,1994-08-25 12:00:00,1994-09-13 12:00:00
0,77.48935483870967,1994-09-23 11:00:00,1994-10-12 11:00:00
0,77.48935483870967,1994-10-20 10:00:00,1994-12-02 10:00:00
0,77.48935483870967,1995-01-12 13:00:00,1995-02-16 13:00:00
0,78.11200000000001,1995-01-31 13:00:00,1995-02-16 13:00:00
0,79.94,1994-07-28 15:00:00,1994-08-04 15:00:00
0,77.6765,1995-03-10 10:00:00,1995-09-25 10:00:00
0,78.49675675675675,1995-02-23 16:00:00,1995-03-08 16:00:00
0,78.49675675675675,1995-03-20 14:00:00,1995-06-20 14:00:00
0,78.49675675675675,1995-08-02 10:00:00,1995-08-16 10:00:00
0,78.49675675675675,1995-08-18 10:00:00,1995-09-25 10:00:00
0,79.29999999999998,1995-04-04 14:00:00,1995-05-30 14:00:00
0,79.29999999999998,1995-06-01 12:00:00,1995-06-18 12:00:00
0,79.29999999999998,1995-09-07 15:00:00,1995-09-20 15:00:00
0,80.03818181818183,1995-04-18 10:00:00,1995-05-09 10:00:00
0,78.52357142857144,1995-09-29 11:00:00,1996-04-23 11:00:00
0,79.21,1995-10-27 10:00:00,1996-04-23 10:00:00
0,80.09565217391304,1995-11-28 12:00:00,1996-01-29 12:00:00
0,80.09565217391304,1996-02-01 15:00:00,1996-04-22 15:00:00
