Date_Time,Open,High,Low,Close_x,Volume,MACD,MACDAvg,MACDDiff,RSI,SlowK,SlowD,FastAvg,SlowAvg,DistF,DistS,FGS,FLS,OpenBar,Close_y,support_4__x,support_4__y,support_5__x,support_5__y,support_5__x,support_5__y,support_5_,support_3__x,support_8__x,support_8__y,support_8__x,support_8__y,support_8__x,support_8__y,support_3__y,support_3__x,support_3__y,support_4__x,support_4__y,support_4__x,support_4__y,support_4__x,support_4__y,support_4__x,support_4__y,support_3__x,support_3__y,support_3_,resistance_3__x,resistance_3__y,resistance_3__x,resistance_3__y,resistance_3_,resistance_4__x,resistance_4__y,resistance_4__x,resistance_6__x,resistance_6__y,resistance_6__x,resistance_6__y,resistance_6__x,resistance_6__y,resistance_4__y,resistance_4__x,resistance_4__y,resistance_4_
2002-05-10 17:00:00,101.21,102.95,100.72,102.89,25828,0.10928800000000001,0.021858000000000002,0.08743,74.05,86.06,82.73,100.735,99.9734,2.155,2.9166,2,0,0,102.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-05-17 17:00:00,102.65,104.44,102.36,103.08,34212,0.208823,0.059251,0.149573,74.4,87.39,84.84,101.151,99.9506,1.929,3.1294,3,0,0,103.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-05-24 17:00:00,103.1,103.14,101.71,101.74,21332,0.177533,0.08290700000000001,0.094626,67.4,83.59,85.68,101.366,99.893,0.374,1.847,4,0,0,101.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-05-31 17:00:00,101.49,101.62,100.53,101.17,22491,0.105524,0.08743,0.018093,64.61,73.01,81.33,101.49,99.8236,0.32,1.3464,5,0,0,101.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-06-07 17:00:00,101.12,101.31,100.5,100.61,31043,0.003232,0.070591,-0.067359,61.9,61.2,72.6,101.417,99.7832,0.807,0.8268,6,0,0,100.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-06-14 17:00:00,100.37,101.8,99.97,101.8,13022,0.017981,0.060069000000000004,-0.042088,65.23,56.01,63.41,101.473,99.7716,0.327,2.0284,7,0,0,101.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-06-21 17:00:00,101.89,102.16,101.06,101.39,15599,-0.0033759999999999997,0.04738,-0.050756,63.18,50.13,55.78,101.762,99.7126,0.372,1.6774,8,0,0,101.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-06-28 17:00:00,101.27,102.51,101.27,102.43,24965,0.062894,0.050483,0.012411,66.1,56.79,54.31,101.864,99.7088,0.566,2.7212,9,0,0,102.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-07-05 17:00:00,102.46,102.72,102.07,102.37,9405,0.10931099999999999,0.062248000000000005,0.047063,65.77,59.99,55.64,101.9,99.7078,0.47,2.6622,10,0,0,102.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-07-12 17:00:00,102.34,103.05,101.3,103.05,20016,0.198677,0.089534,0.109143,67.7,69.3,62.03,102.053,99.6988,0.997,3.3512,11,0,0,103.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
